Reference,Qty,Object,Footprint,Price,Link
"C1,C2,C3,C4",4,100nF,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,1.04,https://www.digikey.com/en/products/detail/kemet/C0603C102F8HACAUTO/7956563
"D1,D2",2,SK6812MINI,LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,Owned,
J1,1,0.91 OLED,OLED,Owned,
R1,1,330 ohm,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1.29,https://www.aliexpress.us/item/2251832766343175.html?spm=a2g0o.cart.0.0.49c238dawu5WRO&mp=1&pdp_npi=6%40dis%21USD%21USD%201.29%21USD%200.99%21%21USD%200.99%21%21%21%402103128817701701634645930e1149%2166353322914%21ct%21US%214570435753%21%211%210%21&_gl=1*5apnzs*_gcl_aw*R0NMLjE3NzAxNzAwOTUuQ2p3S0NBaUExb2JNQmhBYkVpd0FzVUJiSWt1VTAxTFZYYTNJZlBtSW9NQXRRUGRvUHMyOGFObGhpNENJcWlSVVlieGl4d0xRb0g0S2F4b0M2NDRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzAxNzAwOTUuQ2p3S0NBaUExb2JNQmhBYkVpd0FzVUJiSWt1VTAxTFZYYTNJZlBtSW9NQXRRUGRvUHMyOGFObGhpNENJcWlSVVlieGl4d0xRb0g0S2F4b0M2NDRRQXZEX0J3RQ..*_gcl_au*MTY1MzcyODgzMi4xNzY5NDQ4MDIy*_ga*NDA2NjgzMjcuMTc3MDE2OTgxMw..*_ga_VED1YSGNC7*czE3NzAxNjk4MTMkbzEkZzEkdDE3NzAxNzAxNjMkajMzJGwwJGgw&gatewayAdapt=glo2usa
"R2,R3,R4,R5",4,4.7k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,5,https://www.aliexpress.us/item/3256810275816470.html?spm=a2g0o.cart.0.0.49c238dawu5WRO&mp=1&pdp_npi=6%40dis%21USD%21USD%206.32%21USD%200.99%21%21USD%200.99%21%21%21%402103128817701701634645930e1149%2112000052491955912%21ct%21US%214570435753%21%211%210%21&_gl=1*1puro99*_gcl_aw*R0NMLjE3NzAxNzAwOTUuQ2p3S0NBaUExb2JNQmhBYkVpd0FzVUJiSWt1VTAxTFZYYTNJZlBtSW9NQXRRUGRvUHMyOGFObGhpNENJcWlSVVlieGl4d0xRb0g0S2F4b0M2NDRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzAxNzAwOTUuQ2p3S0NBaUExb2JNQmhBYkVpd0FzVUJiSWt1VTAxTFZYYTNJZlBtSW9NQXRRUGRvUHMyOGFObGhpNENJcWlSVVlieGl4d0xRb0g0S2F4b0M2NDRRQXZEX0J3RQ..*_gcl_au*MTY1MzcyODgzMi4xNzY5NDQ4MDIy*_ga*NDA2NjgzMjcuMTc3MDE2OTgxMw..*_ga_VED1YSGNC7*czE3NzAxNjk4MTMkbzEkZzEkdDE3NzAxNzA2ODYkajM4JGwwJGgw&gatewayAdapt=glo2usa
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",9,SW_Push,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,Owned,
"SW10,SW11",2,RotaryEncoder_Switch,Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,Owned,
U1,1,XIAO-RP2040-DIP,Module:MOUDLE14P-XIAO-DIP-SMD,3.9,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
U2,1,PCF8574AP,Package_DIP:DIP-16_W7.62mm,3.38,https://www.aliexpress.us/item/3256806116951581.html?spm=a2g0o.cart.0.0.49c238dawu5WRO&mp=1&pdp_npi=6%40dis%21USD%21USD%206.76%21USD%203.38%21%21USD%203.38%21%21%21%402103128817701701634645930e1149%2112000036684871619%21ct%21US%214570435753%21%211%210%21&_gl=1*xgktu6*_gcl_aw*R0NMLjE3NzAxNzAwOTUuQ2p3S0NBaUExb2JNQmhBYkVpd0FzVUJiSWt1VTAxTFZYYTNJZlBtSW9NQXRRUGRvUHMyOGFObGhpNENJcWlSVVlieGl4d0xRb0g0S2F4b0M2NDRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzAxNzAwOTUuQ2p3S0NBaUExb2JNQmhBYkVpd0FzVUJiSWt1VTAxTFZYYTNJZlBtSW9NQXRRUGRvUHMyOGFObGhpNENJcWlSVVlieGl4d0xRb0g0S2F4b0M2NDRRQXZEX0J3RQ..*_gcl_au*MTY1MzcyODgzMi4xNzY5NDQ4MDIy*_ga*NDA2NjgzMjcuMTc3MDE2OTgxMw..*_ga_VED1YSGNC7*czE3NzAxNjk4MTMkbzEkZzEkdDE3NzAxNzA2OTEkajMzJGwwJGgw&gatewayAdapt=glo2usa
D2-9,8,Diode,Diode,Owned,
,,,,14.61,
,,,,+ 8 for pcb,
,,,,+10 for shipping,
,,,Total:,$33 ,
